<?xml version="1.0" encoding="UTF-8"?>
გუცაევი	ვლადიმერ	განათლების, მეცნიერების, კულტურისა და სპორტის კომიტეტი	2006-02-23	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
ზურაბიანი	აბელ	განათლების, მეცნიერების, კულტურისა და სპორტის კომიტეტი	2006-02-23	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
ქურდაძე	გოჩა	ევროპასთან ინტეგრაციის კომიტეტი	2006-02-01	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
პატარკაციშვილი	ნანა	ევროპასთან ინტეგრაციის კომიტეტი	2006-02-01	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
შერაზადაშვილი	ზაქარია	თავდაცვისა და უშიშროების კომიტეტი	2006-02-13;2006-02-24	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
ძიძიგური	ზვიად	თავდაცვისა და უშიშროების კომიტეტი	2006-02-24	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
უკლება	გიორგი	თავდაცვისა და უშიშროების კომიტეტი	2006-02-24	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
ხურციძე	ბეჟან	თავდაცვისა და უშიშროების კომიტეტი	2006-02-24	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
კოსტავა	ზურაბ	თავდაცვისა და უშიშროების კომიტეტი	2006-02-24	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
არონია	ნაზი	იურიდიულ საკითხთა კომიტეტი	2006-02-10	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
აბულაშვილი	ნუგზარ	იურიდიულ საკითხთა კომიტეტი	2006-02-23	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
ცაგარეიშვილი	გიორგი	იურიდიულ საკითხთა კომიტეტი	2006-02-23	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
დვალიშვილი	კობა	საპროცედურო საკითხთა და წესების კომიტეტი	2006-02-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
გზირიშვილი	ლევან	საპროცედურო საკითხთა და წესების კომიტეტი	2006-02-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
ნუცუბიძე	გია	საპროცედურო საკითხთა და წესების კომიტეტი	2006-02-22	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
სანებლიძე	მამუკა	ჯანმრთელობის დაცვისა და სოციალურ საკითხთა კომიტეტი	2006-02-23	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
ნარჩემაშვილი	ლაშა	ჯანმრთელობის დაცვისა და სოციალურ საკითხთა კომიტეტი	2006-02-23	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
სალაყაია	გიორგი	ჯანმრთელობის დაცვისა და სოციალურ საკითხთა კომიტეტი	2006-02-24	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის თებერვალი 
საგანელიძე	დავით	აგრარულ საკითხთა კომიტეტი	2006-11-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
ქავთარაძე	თამაზ	აგრარულ საკითხთა კომიტეტი	2006-11-17	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
ბალავაძე	ვახტანგ	საფინანსო-საბიუჯეტო კომიტეტი	2006-11-17;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
რაისიანი	მელიქ	ევროპასთან ინტეგრაციის კომიტეტი	2006-11-02	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
ნაკაშიძე	ნინო	ევროპასთან ინტეგრაციის კომიტეტი	2006-11-13	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2006 წლის ნოემბერი 
