101-Iს	147	101	46	0	74	 
1014-Iს	150	91	59	 
1015-Iს	150	94	56	0	 
1016-Iს	150	87	63	0	 
1017-Iს	150	89	61	0	 
1018-Iს	150	93	57	0	 
1019-Iს	150	93	57	0	 
1020-Iს	150	92	58	0	 
1021-Iს	150	92	58	0	 
1022-Iს	150	92	58	0	 
1023-Iს	150	89	61	0	 
1024-Iს	150	89	61	0	 
1025-Iს	150	89	61	0	 
1026-Iს	150	82	68	0	 
1027-Iს	150	88	62	0	 
1028-Iს	150	85	65	0	 
1029-Iს	150	83	67	0	 
1030-Iს	150	81	69	0	 
1031-Iს	150	87	63	0	 
1032-Iს	150	86	64	0	 
1033-Iს	150	84	66	0	 
1034-Iს	150	83	67	0	 
1035-Iს	150	91	59	0	 
1036-Iს	150	83	67	0	 
1037-Iს	150	86	64	0	 
1038-Iს	150	82	68	0	 
1039-Iს	150	83	67	0	 
1040-Iს	150	84	66	0	 
1041-Iს	150	84	66	0	 
1042-Iს	150	87	63	0	 
1043-Iს	150	85	65	0	 
1044-Iს	150	84	66	0	 
1045-Iს	150	85	65	0	 
1046-Iს	150	84	66	0	 
1047-Iს	150	81	69	0	 
1049-Iს	150	83	67	0	 
105-Iს	147	102	45	0	54	 
1050-Iს	150	81	69	0	 
1051-Iს	150	79	71	0	 
1052-Iს	150	80	70	0	 
1053-Iს	150	79	71	0	 
1054-Iს	150	83	67	0	 
1068-Iს	150	81	69	0	 
1069-Iს	150	85	65	0	 
1075-Iს	150	92	49	9	 
1076-Iს	150	92	49	9	 
1077-Iს	150	92	49	9	 
108-Iს	147	79	68	0	50	 
1082-Iს	150	91	58	1	 
109-Iს	147	79	68	0	50	 
113-Iს	147	78	69	0	50	 
1133-Iს	150	85	65	0	 
114-Iს	147	78	69	0	50	 
1151-Iს	150	93	77	0	 
1152-Iს	150	94	56	0	 
1153-Iს	150	94	56	0	 
1154-Iს	150	92	58	0	 
1155-Iს	150	95	55	0	 
1156-Iს	150	95	55	0	 
1157-Iს	150	95	55	0	 
1158-Iს	150	93	57	0	 
116-Iს	147	80	67	0	74	 
117-Iს	147	79	68	0	50	 
118-Iს	147	74	73	0	50	 
119-Iს	147	75	72	0	50	 
1229-Iს	150	92	58	0	 
1230-Iს	150	92	58	0	 
1231-Iს	150	91	59	0	 
1232-Iს	150	91	59	0	 
1233-Iს	150	89	61	0	 
1234-Iს	150	92	58	0	 
1235-Iს	150	92	58	0	 
1236-Iს	150	86	64	0	 
1237-Iს	150	89	61	0	 
1238-Iს	150	89	59	2	 
1239-Iს	150	90	60	2	 
1240-Iს	150	87	63	0	 
1241-Iს	150	87	63	0	 
1242-Iს	150	83	67	0	 
1243-Iს	150	86	64	0	 
1244-Iს	150	83	67	0	 
1245-Iს	150	86	64	0	 
1246-Iს	150	88	62	0	 
1247-Iს	150	86	64	0	 
1248-Iს	150	86	64	0	 
1249-Iს	150	84	66	0	 
1250-Iს	150	86	64	0	 
1251-Iს	150	85	65	0	 
1252-Iს	150	86	64	0	 
1253-Iს	150	87	63	0	 
1254-Iს	150	88	62	0	 
1255-Iს	150	90	60	0	 
1256-Iს	150	89	61	0	 
1257-Iს	150	88	62	0	 
1258-Iს	150	85	65	0	 
1259-Iს	150	90	60	0	 
1260-Iს	150	88	62	0	 
1261-Iს	150	90	60	0	 
1262-Iს	150	87	63	0	 
1263-Iს	150	87	63	0	 
1264-Iს	150	89	61	0	 
1265-Iს	150	85	65	0	 
1266-Iს	150	90	60	0	 
1267-Iს	150	85	65	0	 
1268-Iს	150	88	62	0	 
1269-Iს	150	82	68	0	 
1270-Iს	150	86	64	0	 
1271-Iს	150	87	62	1	 
1272-Iს	150	82	68	0	 
1273-Iს	150	91	59	0	 
1274-Iს	150	88	62	0	 
1275-Iს	150	87	63	0	 
1276-Iს	150	90	60	0	 
1277-Iს	150	89	61	0	 
1278-Iს	150	85	65	0	 
1284-რს	150	68	92	0	 
1285-რს	150	71	79	0	 
1286-რს	150	73	77	0	 
1287-რს	150	69	81	0	 
1288-რს	150	71	79	0	 
1289-რს	150	70	80	0	 
1290-რს	150	69	81	0	 
1291-რს	150	72	78	0	 
1292-რს	150	72	78	0	 
1293-რს	150	68	82	0	 
1294-რს	150	52	98	0	 
1295-რს	150	69	81	0	 
132-Iს	147	80	67	0	50	 
1328-რს	150	87	63	0	 
1329-რს	150	85	65	0	 
1330-რს	150	82	68	0	 
1331-რს	150	82	68	0	 
1332-რს	150	84	66	0	 
1333-რს	150	84	66	0	 
135-Iს	147	79	68	0	50	 
1357-რს	150	77	73	0	 
1358-რს	150	79	71	0	 
1359-რს	150	80	70	0	 
136-Iს	147	78	69	0	50	 
1360-რს	150	80	70	0	 
1361-რს	150	79	71	0	 
1362-რს	150	80	70	0	 
1379-რს	150	80	70	0	 
1380-რს	150	82	68	0	 
1381-რს	150	82	68	0	 
1382-რს	150	82	68	0	 
1383-რს	150	78	72	0	 
