
 თარგამაძე	#45676	2013-05-07	0	61539 
აზერ სულეიმანოვი	#45799	2013-05-13	0	53776.03 
აკაკი ბობოხიძე	#45894	2013-05-13	0	63202 
აკაკი მინაშვილი	#46044	2013-05-25	0	66367.5 
ალექსანდრე თამაზაშვილი	#44534	2013-01-16	0	11500 
ალექსანდრე ტაბატაძე	#47815	2013-11-14	0	51856.7 
ალექსანდრე ქანთარია	#48051	2013-12-10	0	1000 
ალექსი პეტრიაშვილი	#44047	2012-12-12	0	0 
ალი მამედოვი	#44038	2012-12-19	0	0 
ანზორ ბოლქვაძე	#45697	2013-05-08	0	69717.91 
ანი მიროტაძე	#44041	2012-12-17	0	0 
არჩილ კბილაშვილი	#44026	2012-12-21	80000	79674.85 
ბიძინა გუჯაბიძე	#44099	2012-12-21	0	0 
გედევან ფოფხაძე	#48091	2013-12-13	0	15074.2 
გელა გელაშვილი	#44007	2012-12-19	0	0 
გელა სამხარაული	#44053	2012-12-21	0	0 
გელა ხვედელიძე	#44089	2012-12-17	0	0 
გია ჟორჟოლიანი	#44050	2012-12-18	0	19200 
გიგა ბუკია	#44005	2012-12-20	0	0 
გიგლა აგულაშვილი	#48061	2013-12-13	0	14601.23 
გიორგი ბარამიძე	#45794	2013-05-18	2350	640500 
გიორგი გაბაშვილი	#46141	2013-05-27	0	70495 
გიორგი გაჩეჩილაძე	#44006	2012-12-19	0	30429 
გიორგი გოზალიშვილი	#46887	2013-08-27	0	36867.6 
გიორგი ვაშაძე	#46291	2013-06-07	0	65417.5 
გიორგი ვოლსკი	#44018	2012-12-21	0	34013.86 
გიორგი თევდორაძე	#46889	2013-08-27	0	44094 
გიორგი თოფაძე	#44022	2012-12-21	0	69204.75 
გიორგი კანდელაკი	#46249	2013-06-04	0	56706 
გიორგი კარბელაშვილი	#45162	2013-04-05	0	54923.38 
გიორგი კახიანი	#46706	2013-07-17	7125	34560 
გიორგი მელაძე	#45995	2013-05-21	0	67719.61 
გიორგი ოჩიაური	#44045	2012-12-14	0	0 
გიორგი ჟვანია	#44049	2012-12-21	96400	0 
გიორგი ფეიქრიშვილი	#46497	2013-07-01	0	51092.619999999995 
გიორგი ქავთარაძე	#44063	2012-12-20	0	5250 
გიორგი ღვინიაშვილი	#45888	2013-05-15	0	61474 
გიორგი ცაგარეიშვილი	#45973	2013-05-17	0	52223 
გიორგი წერეთელი	#45958	2013-05-23	0	76377 
გიორგი ხაჩიძე	#45956	2013-05-15	0	64722.22 
გიორგი ხეჩინაშვილი	#44088	2012-12-19	0	0 
გოგი ლიპარტელიანი	#45771	2013-05-14	0	63488.46 
გოდერძი ბუკია	#45976	2013-05-21	0	52135.42 
გოჩა ენუქიძე	#46001	2013-05-24	1.6314997400000002E6	52886.72 
გუბაზ სანიკიძე	#47891	2013-11-13	0	17716.26 
გუგული მაღრაძე	#44039	2012-12-18	0	23800 
გურამ მისაბიშვილი	#45934	2013-05-16	0	59053 
დავით ბაქრაძე	#45957	2013-05-24	0	92742 
დავით ბეჟუაშვილი	#46053	2013-05-27	0	53668.45 
დავით ბერძენიშვილი	#47587	2013-11-08	0	25883 
დავით დარჩიაშვილი	#45798	2013-05-13	0	99412 
დავით დარცმელიძე	#45977	2013-05-23	0	41087.05 
დავით ონოფრიშვილი	#44044	2012-12-21	0	0 
დავით საგანელიძე	#44052	2012-12-22	26000	28000 
დავით საყვარელიძე	#45558	2013-05-04	0	35507 
დავით უსუფაშვილი	#44060	2012-12-20	0	48468.25 
დავით ჭავჭანიძე	#45705	2013-05-10	0	49000 
დათო ლორთქიფანიძე	#44539	2012-12-28	0	12000 
დემურ ბაშელეიშვილი	#48021	2013-12-06	0	15098 
დიმიტრი ხუნდაძე	#44092	2012-12-19	0	55000 
ეთერ სვიანაიძე	#47737	2013-11-11	0	48273 
ეკა ბესელია	#44003	2012-12-19	0	24750 
ელისო ჩაფიძე	#44073	2012-12-18	0	15016 
ენზელ მკოიანი	#45935	2013-05-21	0	50952 
ერეკლე ტრიპოლსკი	#44058	2012-12-21	0	42000 
ვალერი გელაშვილი	#44008	2012-12-20	20712	0 
ვაჟა ჩიტაშვილი	#45390	2013-04-23	0	77335.81 
ვახტანგ ლემონჯავა	#46963	2013-09-11	0	49665.450000000004 
ვახტანგ ხმალაძე	#47806	2013-11-10	10710	55682.28999999999 
ვიქტორ დოლიძე	#48029	2013-12-10	0	17689.36 
ვიქტორ ჯაფარიძე	#48090	2013-12-17	0	84957.5 
ზაზა კედელაშვილი	#44027	2012-12-20	9600	0 
ზაზა პაპუაშვილი	#48052	2013-12-13	0	39431.32 
ზაქარია ქუცნაშვილი	#44066	2012-12-21	103800	0 
ზვიად კვაჭანტირაძე	#44030	2012-12-21	63180	0 
ზვიად ძიძიგური	#44077	2012-12-20	0	0 
ზურაბ აბაშიძე	#43996	2012-12-20	0	43300 
ზურაბ ზვიადაური	#44020	2012-12-21	0	0 
ზურაბ კიკალეიშვილი	#43992	2012-12-16	0	51086 
ზურაბ მარაქველიძე	#47886	2013-11-13	0	14497.28 
ზურაბ მელიქიშვილი	#46054	2013-05-24	0	68227.52 
ზურაბ ტარიელაშვილი	#47574	2013-11-07	0	48468 
ზურაბ ტყემალაძე	#44059	2012-12-21	0	45000 
ზურაბ ჩილინგარაშვილი	#48079	2013-12-12	0	29000 
ზურაბ ჯაფარიძე	#44094	2012-12-21	0	66206.85 
თამაზ ავდალიანი	#43998	2012-12-20	0	10946.7 
თამაზ კვაჭანტირაძე	#43991	2012-12-19	0	59132.49 
თამაზ მეჭიაური	#44535	2013-01-09	0	10771.71 
თამაზ ყაჭეიშვილი	#44069	2012-12-20	24000	0 
თამაზ შიოშვილი	#48138	2013-12-18	0	10771.71 
თამაზ ჯაფარიძე	#44096	2012-12-21	0	4440 
თამარ კორძაია	#46704	2013-07-18	0	35000 
თამარ ყოლბაია	#44694	2013-01-23	0	28000 
თეა წულუკიანი	#44080	2012-12-21	0	5396.48 
თედო ჯაფარიძე	#48171	2013-12-18	0	17966.55 
თეიმურაზ ჩხაიძე	#48062	2013-12-13	0	14727.17 
თეიმურაზ ჭკუასელი	#48164	2013-12-18	0	14727.17 
თემურ მაისურაძე	#44036	2012-12-21	0	0 
თენგიზ ხუბულური	#44531	2012-12-18	0	0 
თინათინ ბოკუჩავა	#46340	2013-06-12	0	41577.17 
თინათინ ხიდაშელი	#44090	2012-12-20	0	63883.8 
იაშა შერვაშიძე	#45800	2013-05-10	0	53480.14 
ივანე კიღურაძე	#47883	2013-11-12	0	43372.259999999995 
იოსებ ჯაჭვლიანი	#47987	2013-12-03	0	29658 
ირაკლი ალასანია	#43999	2012-12-21	0	0 
ირაკლი სესიაშვილი	#44056	2012-12-17	0	46703.67 
ირაკლი ჩიქოვანი	#44075	2012-12-19	0	0 
ირინე იმერლიშვილი	#44023	2012-12-21	0	27000 
ირმა ნადირაშვილი	#46829	2013-08-22	0	47699.59 
კარლო კოპალიანი	#45882	2013-05-16	0	57052 
კარლო ცქიტიშვილი	#8786	2012-11-09	0	43943.97 
კახა ბუცხრიკიძე	#44553	2013-01-26	0	23000 
კახა კალაძე	#44024	2012-12-22	0	0 
კახაბერ ოქრიაშვილი	#46193	2013-05-30	1.177224E7	52152.68 
კობა დავითაშვილი	#44012	2012-12-20	0	23095 
კობა ნაყოფია	#46188	2013-05-31	0	53175.48 
კობა სუბელიანი	#45776	2013-05-13	0	59306.32 
ლაშა ნაცვლიშვილი	#44042	2012-12-21	0	0 
ლევან ბეჟაშვილი	#45979	2013-05-25	0	48419.93 
ლევან ბერძენიშვილი	#47738	2013-11-08	0	23548 
ლევან ქარდავა	#44065	2012-12-21	0	0 
ლერი ხაბელოვი	#44083	2012-12-21	0	0 
მაია ფანჯიკიძე	#44061	2012-12-17	0	9000.29 
მაკა გიგაური	#46321	2013-05-14	0	53957 
მალხაზ ვახტანგაშვილი	#44017	2012-12-19	0	4200 
მალხაზ წერეთელი	#44078	2012-12-17	0	4250 
მანანა კობახიძე	#44034	2012-12-21	0	29819.74 
მარიამ საჯაია	#44055	2012-12-21	0	5400 
მარიკა ვერულაშვილი	#46107	2013-05-27	0	53011.58 
მარინე ასათიანი	#47628	2013-11-08	0	50005 
მახირ დარზიევი	#44536	2012-12-24	0	0 
მერაბ გოცირიძე	#47863	2013-11-15	0	50892 
მერაბ კაჭახიძე	#44025	2012-12-20	0	0 
მირიან წიკლაური	#44079	2012-12-21	0	18520 
მიხეილ მაჭავარიანი	#45907	2013-05-17	0	71488.2 
მიხეილ მახარაძე	#46202	2013-05-29	0	66199.37 
მურთაზ შალუაშვილი	#47774	2013-11-08	0	43000 
მურმან დუმბაძე	#47933	2013-11-21	0	29700 
ნანა ყეინიშვილი	#44070	2012-12-19	0	0 
ნაული ჯანაშია	#45801	2013-05-15	0	53776.03 
ნიკოლოზ ნერგაძე	#46697	2013-07-15	0	55537 
ნიკოლოზ ყიფშიძე	#44071	2012-12-21	0	377573 
ნინო გოგუაძე	#47941	2013-11-28	0	51781 
ნოდარ ებანოიძე	#44016	2012-12-21	0	18062 
ნოდარ ხადური	#44085	2012-11-09	0	52000 
